customerID,proba_churn,label_pred
4376-KFVRS,0.11547187587103838,0
2754-SDJRD,0.8530785907286038,1
9917-KWRBE,0.14683068142379843,0
0365-GXEZS,0.6606631082399415,1
9385-NXKDA,0.060435710084071594,0
4686-UXDML,0.8060602910611951,1
2227-JRSJX,0.6984711714139794,1
4830-FAXFM,0.2941354453411066,0
1830-IPXVJ,0.009292843865483541,0
4690-LLKUA,0.6525549003487535,1
5804-HYIEZ,0.5179075348219383,1
2388-LAESQ,0.1496670841712015,0
5533-RJFTJ,0.31269573406827755,0
4706-AXVKM,0.8535730339696003,1
0997-YTLNY,0.3004979780109729,0
7971-HLVXI,0.14795464209089232,0
7337-CINUD,0.07766780278826131,0
1379-FRVEB,0.8204211826438919,1
4753-PADAS,0.37767009678088304,0
5701-GUXDC,0.20715675848687104,0
7235-NXZCP,0.8659911281304973,1
0668-OGMHD,0.5099509308962467,1
2812-REYAT,0.05044398250017506,0
8779-YIQQA,0.09653413081665488,0
9701-CDXHR,0.4008126218239352,0
7130-CTCUS,0.43208250022423667,0
1894-IGFSG,0.7965432571574543,1
0871-URUWO,0.8550821401791683,1
0057-QBUQH,0.04991915822891821,0
9611-CTWIH,0.9030155178856314,1
8058-DMYRU,0.7042835483860428,1
5351-QESIO,0.6647713402229825,1
4302-ZYFEL,0.01877055100326992,0
6134-KWTBV,0.015001071324109057,0
2034-GDRCN,0.9039150509175878,1
9544-PYPSJ,0.501674340736322,1
4208-UFFGW,0.6227548565303467,1
9537-JALFH,0.006690159227803802,0
4415-IJZTP,0.886868003008174,1
4701-MLJPN,0.4063583986505016,0
7515-LODFU,0.009574847788361726,0
4927-WWOOZ,0.9012595269538699,1
4067-HLYQI,0.5998968643742633,1
6184-DYUOB,0.45014829580409,0
9209-NWPGU,0.12002790448883813,0
9851-KIELU,0.751451382331732,1
3199-XGZCY,0.8609595747305344,1
4226-KKDON,0.6237404383524721,1
1085-LDWAM,0.01840402417698523,0
6825-UYPFK,0.6518997492076106,1
1767-CJKBA,0.013501144130162322,0
7181-BQYBV,0.8693026881026528,1
0178-CIIKR,0.36366460704610526,0
4256-ZWTZI,0.4873933353360149,0
9537-VHDTA,0.41974495452365407,0
2754-XBHTB,0.808945083211902,1
5975-BAICR,0.16128174482381372,0
3301-VKTGC,0.1416952559866029,0
2877-VDUER,0.17928627022303278,0
7717-BICXI,0.010212988740846092,0
0562-FGDCR,0.018994459287342703,0
3705-PSNGL,0.08795510912555655,0
0048-LUMLS,0.39888177828878385,0
6497-TILVL,0.37486582955069064,0
2108-YKQTY,0.5001536706429086,1
3658-KIBGF,0.6107491033758746,1
5482-NUPNA,0.41321671079175964,0
7410-KTVFV,0.5221842228601155,1
9033-EOXWV,0.41253269337703913,0
8821-XNHVZ,0.8140345147344874,1
8224-KDLKN,0.00794511396657726,0
4825-FUREZ,0.03743513394642011,0
7534-BFESC,0.8157552255406865,1
9138-EFSMO,0.41967346724668575,0
4227-OJHAL,0.07692005424630934,0
7279-NMVJC,0.12554220708436173,0
8591-TKMZH,0.1457859894220921,0
9283-LZQOH,0.749968719697052,1
3594-IVHJZ,0.45229528847733363,0
1945-XISKS,0.009447497663241976,0
4359-INNWN,0.1258921230989727,0
7649-SIJJF,0.03545596504148772,0
9254-RBFON,0.4542515014657788,0
0970-ETWGE,0.9107319120148214,1
7762-ONLJY,0.1635773141096696,0
6710-HSJRD,0.6413316989521113,1
